 ID     	OWNER          SUBMITTED   RUN_TIME    	 ST COMPLETED   	CMD
6123.55  cs293b-2        6/4  21:08   0+00:00:11 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.24  cs293b-2        6/4  21:08   0+00:00:22 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.31  cs293b-2        6/4  21:08   0+00:00:37 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.47  cs293b-2        6/4  21:08   0+00:00:14 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.29  cs293b-2        6/4  21:08   0+00:00:48 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.43  cs293b-2        6/4  21:08   0+00:00:12 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.78  cs293b-2        6/4  21:08   0+00:00:22 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.50  cs293b-2        6/4  21:08   0+00:00:20 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.15  cs293b-2        6/4  21:08   0+00:01:27 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.59  cs293b-2        6/4  21:08   0+00:00:18 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.85  cs293b-2        6/4  21:08   0+00:00:40 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.91  cs293b-2        6/4  21:08   0+00:00:50 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.28  cs293b-2        6/4  21:08   0+00:00:30 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.82  cs293b-2        6/4  21:08   0+00:00:34 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.5   cs293b-2        6/4  21:08   0+00:00:30 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.39  cs293b-2        6/4  21:08   0+00:00:18 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.96  cs293b-2        6/4  21:08   0+00:00:44 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.4   cs293b-2        6/4  21:08   0+00:00:16 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.20  cs293b-2        6/4  21:08   0+00:00:20 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.26  cs293b-2        6/4  21:08   0+00:00:18 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.95  cs293b-2        6/4  21:08   0+00:00:27 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.33  cs293b-2        6/4  21:08   0+00:00:21 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.32  cs293b-2        6/4  21:08   0+00:01:08 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.58  cs293b-2        6/4  21:08   0+00:00:11 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.75  cs293b-2        6/4  21:08   0+00:00:21 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.36  cs293b-2        6/4  21:08   0+00:00:21 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.8   cs293b-2        6/4  21:08   0+00:00:16 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.64  cs293b-2        6/4  21:08   0+00:00:12 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.89  cs293b-2        6/4  21:08   0+00:00:40 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.49  cs293b-2        6/4  21:08   0+00:00:12 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.30  cs293b-2        6/4  21:08   0+00:00:19 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.25  cs293b-2        6/4  21:08   0+00:00:20 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6122.90  cs293b-2        6/4  21:08   0+00:00:16 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
6123.9   cs293b-2        6/4  21:08   0+00:00:14 C   6/4  21:15 /home/cs293b-2/PartyCrasher/Client/client.o 35.184.11.109 5005 3 1
